order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
8065;2457;806;1788;5734.64;0;0.15;0.05;518;55.464;1
7867;2846;876;5688;481.95;0;0.15;0.05;423.6;-375.405;0
7198;3120;501;184;1908;0;0.15;0.05;414;-223.2;0
8086;2457;924;1788;2377.65;0;0.15;0.05;390;-152.235;0
9691;3027;271;1213;314.52;0;0.15;0.05;314.52;-283.068;0
9544;3353;389;781;142.45;0;0.15;0.05;280.52;-266.275;0
8088;2457;93;1788;986.88;0;0.15;0.05;264.52;-165.832;0
7232;2193;518;4919;241.02;0;0.15;0.05;241.02;-216.918;0
3527;1235;665;1294;947.49;0;0.15;0.05;233.19;-138.441;0
2874;532;523;184;1764;0;0.15;0.05;228.958286;-52.558286;0
9735;3197;1076;4275;149.52;0;0.15;0.05;211.86;-196.908;0
5295;2036;718;4700;138.6;0;0.15;0.05;210;-196.14;0
7757;2909;495;1967;225.6;0;0.15;0.05;197.28;-174.72;0
5741;1858;526;1761;1665.36;0;0.15;0.05;196.787819;-30.251819;0
7630;1832;876;1201;112.29;0;0.15;0.05;193;-181.771;0
6789;2537;806;5207;549.65;0;0.15;0.05;187;-132.035;0
6477;1875;66;1337;1761.34;0;0.15;0.05;184.692535;-8.558535;0
6439;1925;679;4581;183;0;0.15;0.05;183;-164.7;0
10253;3580;518;6452;179.28;0;0.15;0.05;179.28;-161.352;0
9141;2399;490;173;673.2;0;0.15;0.05;159;-91.68;0
4585;1782;261;2055;187.2;0;0.15;0.05;153.5;-134.78;0
10928;3490;833;6512;152.06;0;0.15;0.05;152.06;-136.854;0
4733;1733;159;3140;122.4;0;0.15;0.05;150;-137.76;0
11458;3890;1091;6854;176.85;0;0.15;0.05;148.26;-130.575;0
5948;2290;665;1865;245.28;0;0.15;0.05;146.66;-122.132;0
2018;858;271;2095;145.2;0;0.15;0.05;145;-130.48;0
6183;949;887;2226;105;0;0.15;0.05;141.86;-131.36;0
8972;3185;665;6136;246.86;0;0.15;0.05;137.47;-112.784;0
7448;2725;806;4755;554.6;0;0.15;0.05;136;-80.54;0
3089;703;118;1646;236.16;0;0.15;0.05;133.58;-109.964;0
6905;1226;159;225;244.8;0;0.15;0.05;132;-107.52;0
2255;608;159;1110;128.88;0;0.15;0.05;132;-119.112;0
9714;3430;271;6419;131.72;0;0.15;0.05;131.72;-118.548;0
10994;3509;1073;5787;1177.8;0;0.15;0.05;131.458136;-13.678136;0
9608;2147;617;4876;163.3;0;0.15;0.05;130.63;-114.3;0
2666;1224;159;225;122.4;0;0.15;0.05;130;-117.76;0
10666;3692;665;5648;241.48;0;0.15;0.05;128.38;-104.232;0
3462;1006;665;2287;369.76;0;0.15;0.05;125.36;-88.384;0
8021;2895;66;5213;1366.07;0;0.15;0.05;121.057568;15.549432;1
7588;2745;718;17;112.99;0;0.15;0.05;120;-108.701;0
4588;1763;665;1412;139.54;0;0.15;0.05;118.61;-104.656;0
7915;2870;271;5719;118.17;0;0.15;0.05;118.17;-106.353;0
9923;2083;1076;4181;327.14;0;0.15;0.05;116.93;-84.216;0
10962;3775;876;6853;587.43;100;0.05;0.05;116.61;-216.61;0
3746;775;254;518;162.55;0;0.15;0.05;115.82;-99.565;0
6904;1853;665;2287;135.9;0;0.15;0.05;112.74;-99.15;0
8936;3519;665;6105;200.65;0;0.15;0.05;111.94;-91.875;0
5218;2008;626;457;148.8;0;0.15;0.05;111.44;-96.56;0
5243;2026;888;4687;120;0;0.15;0.05;111.31;-99.31;0
9049;3211;806;5761;679.5;0;0.15;0.05;110.51;-42.56;0
5072;1900;254;1275;120.52;0;0.15;0.05;109.44;-97.388;0
11229;3857;285;6920;377.27;100;0.05;0.05;109.2;-209.2;0
9636;3412;66;6400;847.81;100;0.05;0.05;109.03628;-209.03628;0
7109;2629;950;5440;137.4;0;0.15;0.05;108.25;-94.51;0
